Type,Name,Total Population,Male,Female,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 34,35 to 44,45 to 54,55 to 59,60 to 64,65 to 74,75 to 84,Over 85,Median age,Households,Households with kids,Households with senior citizens,Avg household size,Avg family size,Total Housing Units,Occupied Housing Units,Vacant Housing,Rental or Vacation Housing,Owner-occupied Housing,Renter-occupied Housing
A,Virginia,7078515,3471895,3606620,461982,495084,495955,484065,480574,1036965,1200690,999256,358442,273169,432456,272611,87266,35.7,2699173,968736,565204,2.54,3.04,2904192,2699173,205019,54696,1837939,861234
A,Accomack County,38305,18590,19715,2336,2695,2655,2585,2175,4311,5716,5167,2212,2064,3505,2129,755,39.4,15299,5256,4569,2.45,2.96,19550,15299,4251,2585,11482,3817
A,Albemarle County,79236,38002,41234,4961,5608,5928,4735,4209,11129,13358,12071,4108,3209,5348,3413,1159,37.4,31876,10885,6768,2.44,2.99,33720,31876,1844,428,20991,10885
A,Alleghany County,12926,6450,6476,721,846,850,820,518,1508,1954,2038,926,720,1101,717,207,41.1,5149,1697,1397,2.46,2.85,5812,5149,663,220,4369,780
A,Amelia County,11400,5622,5778,716,774,857,776,535,1365,1969,1605,718,571,817,484,213,38.5,4240,1614,1058,2.66,3.07,4609,4240,369,66,3474,766
A,Amherst County,31894,15208,16686,1820,2075,2235,2518,1937,3907,4930,4613,1863,1599,2520,1415,462,38,11941,4251,3139,2.51,2.95,12958,11941,1017,176,9325,2616
A,Appomattox County,13705,6671,7034,842,959,974,937,644,1660,2152,1898,883,731,1128,679,218,39.1,5322,1928,1452,2.55,2.94,5828,5322,506,102,4315,1007
A,Arlington County,189453,95443,94010,10397,8741,7635,7640,16535,47675,32664,25841,8816,5747,8330,6914,2518,34,86352,18038,13296,2.15,2.96,90426,86352,4074,1526,37370,48982
A,Augusta County,65615,32995,32620,3715,4372,4687,4275,3039,8130,11414,10274,4048,3232,4868,2705,856,39,24818,8954,5918,2.56,2.94,26738,24818,1920,454,20628,4190
A,Bath County,5048,2532,2516,222,306,343,278,190,604,822,754,353,332,515,250,79,41.8,2053,614,596,2.34,2.8,2896,2053,843,684,1640,413
A,Bedford County,60371,30107,30264,3527,4117,4410,3543,2409,7305,10723,9711,3932,2956,4692,2363,683,39.7,23838,8334,5438,2.52,2.89,26841,23838,3003,1269,20637,3201
A,Bland County,6871,3747,3124,308,356,417,398,377,1000,1105,1123,419,375,560,323,110,40.3,2568,792,715,2.43,2.85,3161,2568,593,314,2212,356
